type,title,url,parent_url,local_path,status,size_bytes,seconds,error
post,Week 2: Student Work,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160822380,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 2_ Student Work.html,REPLACED,131977,19.038,
post,Week 3: Block Out,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160822384,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 3_ Block Out.html,REPLACED,131819,13.777,
post,Week 4: First Pass,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160897721,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 4_ First Pass.html,REPLACED,131408,14.723,
post,Week 4: Feedback Deep Dive,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160897723,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 4_ Feedback Deep Dive.html,REPLACED,131935,18.895,
post,Week 5: First Pass Follow-up Review,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160897726,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 5_ First Pass Follow-up Review.html,REPLACED,131757,17.600,
post,Week 5: Live Feedback,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160897729,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 5_ Live Feedback.html,REPLACED,132523,18.618,
post,Week 6: Second Pass,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160897738,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 6_ Second Pass.html,REPLACED,131224,17.330,
post,Week 6: Live Feedback,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160897742,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 6_ Live Feedback.html,REPLACED,131789,20.453,
post,Week 7: Second Pass Follow-up Review,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160922461,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 7_ Second Pass Follow-up Review.html,REPLACED,131799,19.963,
post,Week 7: Live Feedback,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160922466,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 7_ Live Feedback.html,REPLACED,131993,19.967,
post,Week 8: Successful Polish,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160924272,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 8_ Successful Polish.html,REPLACED,131980,20.116,
post,Week 9: Final Pass,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2162661757,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Week 9_ Final Pass.html,REPLACED,132404,20.294,
post,Final Effect: Rowan Rees,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743/posts/2160924827,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661743,Apprenticeship Level 3/Apprenticeship/Final Effect_ Rowan Rees.html,REPLACED,135274,19.885,
post,Great job!,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2151090962/posts/2160776940,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2151090962,Apprenticeship Level 3/Apprenticeship ✅/Great job!.html,REPLACED,130685,20.478,
post,Survey,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2151090962/posts/2160626508,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2151090962,Apprenticeship Level 3/Apprenticeship ✅/Survey.html,REPLACED,134177,27.167,
post,Slash Combo,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2152376030/posts/2168023414,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2152376030,Apprenticeship Level 3/Production Level Effects - Breakdown/Slash Combo.html,REPLACED,135961,273.667,
