type,title,url,parent_url,local_path,status
category,Post-Process & Motion Graphics Track,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660577,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2,Hand-Drawn 2D FX_ Level 2/Post-Process & Motion Graphics Track/index.html,DISCOVERED
category,2D FX Meme Lab - Production Styles,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2152722227,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2,Hand-Drawn 2D FX_ Level 2/2D FX Meme Lab - Production Styles/index.html,DISCOVERED
category,Complex 2D FX Composition Studies - Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660021,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/index.html,DISCOVERED
category,Level 2 ✅,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660705,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2,Hand-Drawn 2D FX_ Level 2/Level 2 ✅/index.html,DISCOVERED
category,Project - Download,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2151531435,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Project - Download/index.html,DISCOVERED
category,Beginner Guide to VFX,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2154198343,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Beginner Guide to VFX/index.html,DISCOVERED
category,Block-in VFX - Unity,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2150605434,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Block-in VFX - Unity/index.html,DISCOVERED
category,Niagara Block-in VFX - Unreal 5,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2150605378,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Niagara Block-in VFX - Unreal 5/index.html,DISCOVERED
category,Color Theory for VFX,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2150605426,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Color Theory for VFX/index.html,DISCOVERED
category,Intro to Hand-Painted Textures - Krita,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2150605474,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/index.html,DISCOVERED
category,Intro to Procedural Textures - Substance Designer,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2153470807,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/index.html,DISCOVERED
category,Intro to Modeling for VFX - Blender & Maya,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1/categories/2150605507,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-1,Hand-Crafted 3D VFX_ Level 1/Intro to Modeling for VFX - Blender & Maya/index.html,DISCOVERED
