type,lesson,url,name,local_path,status,size_bytes
video,Missile - Timeline Setup,https://embed-ssl.wistia.com/deliveries/046b52712c686b7c77498319aea281f48934a5d9.bin,Missile - Timeline Setup.mp4,Hand-Crafted 3D VFX_ Level 1/Block-in VFX - Unity/Missile - Timeline Setup.mp4,ALREADY_EXISTS_MP4,122934396
video,Intro to Niagara: Fire,https://embed-ssl.wistia.com/deliveries/42391f722c5c1302aaf3ea718f2e231cea4925fa.bin,Intro to Niagara_ Fire.mp4,Hand-Crafted 3D VFX_ Level 1/Niagara Block-in VFX - Unreal 5/Intro to Niagara_ Fire.mp4,ALREADY_EXISTS_MP4,437430691
video,Item Aura & Visual Hierarchy,https://embed-ssl.wistia.com/deliveries/d4e55e566a830d0f05053fae26ece32732d59b08.bin,Item Aura & Visual Hierarchy.mp4,Hand-Crafted 3D VFX_ Level 1/Niagara Block-in VFX - Unreal 5/Item Aura & Visual Hierarchy.mp4,ALREADY_EXISTS_MP4,286626817
video,Tech & Tools,https://embed-ssl.wistia.com/deliveries/10d572876524384095b74c813eac9d80be9804c2.bin,Tech & Tools.mp4,Hand-Crafted 3D VFX_ Level 1/Niagara Block-in VFX - Unreal 5/Tech & Tools.mp4,ALREADY_EXISTS_MP4,140679850
video,Damage Impact - Timing & Punch,https://embed-ssl.wistia.com/deliveries/b21c53a947f6ca004a7c3a37b61d8b3c317be06f.bin,Damage Impact - Timing & Punch.mp4,Hand-Crafted 3D VFX_ Level 1/Niagara Block-in VFX - Unreal 5/Damage Impact - Timing & Punch.mp4,ALREADY_EXISTS_MP4,166352240
video,Block-in Overview,https://embed-ssl.wistia.com/deliveries/746302e55be8a62d99af4538a003d620e47fbf07.bin,Block-in Overview.mp4,Hand-Crafted 3D VFX_ Level 1/Niagara Block-in VFX - Unreal 5/Block-in Overview.mp4,ALREADY_EXISTS_MP4,70365040
video,Heal Impacts - Arcs & Ease In/Out,https://embed-ssl.wistia.com/deliveries/1202beb16885dcc4c87a75873a5e6e2875d2bf8f.bin,Heal Impacts - Arcs & Ease In_Out.mp4,Hand-Crafted 3D VFX_ Level 1/Niagara Block-in VFX - Unreal 5/Heal Impacts - Arcs & Ease In_Out.mp4,ALREADY_EXISTS_MP4,452093132
video,Missile Wind-up & Impact,https://embed-ssl.wistia.com/deliveries/07b897e40f5a9905cc3cdaabeba93d4e03bfa05f.bin,Missile Wind-up & Impact.mp4,Hand-Crafted 3D VFX_ Level 1/Niagara Block-in VFX - Unreal 5/Missile Wind-up & Impact.mp4,ALREADY_EXISTS_MP4,351294303
video,"Explosion AoE - Anticipation, Impulse, & Rhythm",https://embed-ssl.wistia.com/deliveries/e43daac5dc2c93ca73608d21d37b817de78acfa2.bin,"Explosion AoE - Anticipation, Impulse, & Rhythm.mp4","Hand-Crafted 3D VFX_ Level 1/Niagara Block-in VFX - Unreal 5/Explosion AoE - Anticipation, Impulse, & Rhythm.mp4",ALREADY_EXISTS_MP4,545735201
video,Sequencer Addendum - Projectile Setup for Games,https://embed-ssl.wistia.com/deliveries/643fbded253c6f687c6a740368fcbad77b02a001.bin,Sequencer Addendum - Projectile Setup for Games.mp4,Hand-Crafted 3D VFX_ Level 1/Niagara Block-in VFX - Unreal 5/Sequencer Addendum - Projectile Setup for Games.mp4,ALREADY_EXISTS_MP4,112409266
video,Intro & RGB Color Wheel,https://embed-ssl.wistia.com/deliveries/dd6032b16a09417b104f2864367bca97c0bdf1e8.bin,Intro & RGB Color Wheel.mp4,Hand-Crafted 3D VFX_ Level 1/Color Theory for VFX/Intro & RGB Color Wheel.mp4,ALREADY_EXISTS_MP4,22120423
video,Saturation & Hue,https://embed-ssl.wistia.com/deliveries/68c7e407feecea3ff47649a5936c8b136825d959.bin,Saturation & Hue.mp4,Hand-Crafted 3D VFX_ Level 1/Color Theory for VFX/Saturation & Hue.mp4,ALREADY_EXISTS_MP4,58729455
video,Color Value,https://embed-ssl.wistia.com/deliveries/d47bd658e5f5d4685b9bef8be105d6b10da1514e.bin,Color Value.mp4,Hand-Crafted 3D VFX_ Level 1/Color Theory for VFX/Color Value.mp4,ALREADY_EXISTS_MP4,118034755
video,Addition,https://embed-ssl.wistia.com/deliveries/3b5ea2ff75e27f9e9b0a6db9cd12dc9a8c46ab87.bin,Addition.mp4,Hand-Crafted 3D VFX_ Level 1/Color Theory for VFX/Addition.mp4,ALREADY_EXISTS_MP4,166633661
video,Temperature & Palettes,https://embed-ssl.wistia.com/deliveries/8441d338c9085034dbc3d38e63411c392601c910.bin,Temperature & Palettes.mp4,Hand-Crafted 3D VFX_ Level 1/Color Theory for VFX/Temperature & Palettes.mp4,ALREADY_EXISTS_MP4,92006897
video,Restraint & Readability,https://embed-ssl.wistia.com/deliveries/44074c12a5041b123d02f800c2930f59bdb9eb06.bin,Restraint & Readability.mp4,Hand-Crafted 3D VFX_ Level 1/Color Theory for VFX/Restraint & Readability.mp4,ALREADY_EXISTS_MP4,264354093
video,Intro to Krita,https://embed-ssl.wistia.com/deliveries/25dbc3df9b32394872e22992eff5581a36bf0f5f.bin,Intro to Krita.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/Intro to Krita.mp4,ALREADY_EXISTS_MP4,69766451
resource,Intro to Krita,https://www.vfxapprentice.com/courses/downloads/2151611805/1331-010_krita_texture_painting_assets-zip,1331-010_Krita_Texture_Painting_Assets.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/1331-010_Krita_Texture_Painting_Assets.zip,ALREADY_EXISTS_ZIP,31508556
video,Impact Flair,https://embed-ssl.wistia.com/deliveries/6701ce2febad692790bdd30d2f5a077fe2871e65.bin,Impact Flair.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/Impact Flair.mp4,ALREADY_EXISTS_MP4,84146564
resource,Impact Flair,https://www.vfxapprentice.com/courses/downloads/2151611806/1331-010_krita_texture_painting_assets-zip,1331-010_Krita_Texture_Painting_Assets.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/1331-010_Krita_Texture_Painting_Assets.zip,ALREADY_EXISTS_ZIP,31508556
video,Ring,https://embed-ssl.wistia.com/deliveries/dbcb472e5dadc7fc145668c94897e4203b34f17e.bin,Ring.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/Ring.mp4,ALREADY_EXISTS_MP4,110980042
resource,Ring,https://www.vfxapprentice.com/courses/downloads/2151611808/1331-010_krita_texture_painting_assets-zip,1331-010_Krita_Texture_Painting_Assets.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/1331-010_Krita_Texture_Painting_Assets.zip,ALREADY_EXISTS_ZIP,31508556
video,Embers Sprite Sheet,https://embed-ssl.wistia.com/deliveries/17640e6df9e821b02b117c2fb26b7fd132c125d5.bin,Embers Sprite Sheet.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/Embers Sprite Sheet.mp4,ALREADY_EXISTS_MP4,121209637
resource,Embers Sprite Sheet,https://www.vfxapprentice.com/courses/downloads/2151611810/1331-010_krita_texture_painting_assets-zip,1331-010_Krita_Texture_Painting_Assets.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/1331-010_Krita_Texture_Painting_Assets.zip,ALREADY_EXISTS_ZIP,31508556
video,Zap Sprite Sheet,https://embed-ssl.wistia.com/deliveries/021df8fd057d644368c7ef573820cbc82669ba42.bin,Zap Sprite Sheet.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/Zap Sprite Sheet.mp4,ALREADY_EXISTS_MP4,81967035
resource,Zap Sprite Sheet,https://www.vfxapprentice.com/courses/downloads/2151611811/1331-010_krita_texture_painting_assets-zip,1331-010_Krita_Texture_Painting_Assets.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/1331-010_Krita_Texture_Painting_Assets.zip,ALREADY_EXISTS_ZIP,31508556
video,Wisp Sprite Sheet,https://embed-ssl.wistia.com/deliveries/76a4ef091c77a541c938638ba1a2492b4e6977fb.bin,Wisp Sprite Sheet.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/Wisp Sprite Sheet.mp4,ALREADY_EXISTS_MP4,147513384
resource,Wisp Sprite Sheet,https://www.vfxapprentice.com/courses/downloads/2151611813/1331-010_krita_texture_painting_assets-zip,1331-010_Krita_Texture_Painting_Assets.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/1331-010_Krita_Texture_Painting_Assets.zip,ALREADY_EXISTS_ZIP,31508556
video,Liquid Splatter,https://embed-ssl.wistia.com/deliveries/626db9dc6f36959d492a53c669d382dfb9a5a91a.bin,Liquid Splatter.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/Liquid Splatter.mp4,ALREADY_EXISTS_MP4,129871395
resource,Liquid Splatter,https://www.vfxapprentice.com/courses/downloads/2151611814/1331-010_krita_texture_painting_assets-zip,1331-010_Krita_Texture_Painting_Assets.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/1331-010_Krita_Texture_Painting_Assets.zip,ALREADY_EXISTS_ZIP,31508556
video,Tiling Noise,https://embed-ssl.wistia.com/deliveries/17762d49eaba6d3656dd968ff1b0b43301ee6f36.bin,Tiling Noise.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/Tiling Noise.mp4,ALREADY_EXISTS_MP4,211181016
resource,Tiling Noise,https://www.vfxapprentice.com/courses/downloads/2151611817/1331-010_krita_texture_painting_assets-zip,1331-010_Krita_Texture_Painting_Assets.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/1331-010_Krita_Texture_Painting_Assets.zip,ALREADY_EXISTS_ZIP,31508556
video,Tiling Trail,https://embed-ssl.wistia.com/deliveries/6e4ba3f3f35c6803a7a915fe6aca529103ac9b26.bin,Tiling Trail.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/Tiling Trail.mp4,ALREADY_EXISTS_MP4,133143785
resource,Tiling Trail,https://www.vfxapprentice.com/courses/downloads/2151611816/1331-010_krita_texture_painting_assets-zip,1331-010_Krita_Texture_Painting_Assets.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Hand-Painted Textures - Krita/1331-010_Krita_Texture_Painting_Assets.zip,ALREADY_EXISTS_ZIP,31508556
video,Intro to Procedural Thinking,https://embed-ssl.wistia.com/deliveries/d4e2aad0cb64f2833b4caeb974b549b91bc43978.bin,Intro to Procedural Thinking.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Intro to Procedural Thinking.mp4,ALREADY_EXISTS_MP4,40199159
resource,Intro to Procedural Thinking,https://www.vfxapprentice.com/courses/downloads/2155773431/source_assets-substance_designer-zip,Source_Assets-Substance_Designer.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Source_Assets-Substance_Designer.zip,ALREADY_EXISTS_ZIP,51674
video,Intro to Substance Designer - Fuzzball,https://embed-ssl.wistia.com/deliveries/d48dca516c6ec7b556ac43704217edcd5c8f8ed3.bin,Intro to Substance Designer - Fuzzball.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Intro to Substance Designer - Fuzzball.mp4,ALREADY_EXISTS_MP4,61914406
resource,Intro to Substance Designer - Fuzzball,https://www.vfxapprentice.com/courses/downloads/2155773430/source_assets-substance_designer-zip,Source_Assets-Substance_Designer.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Source_Assets-Substance_Designer.zip,ALREADY_EXISTS_ZIP,51674
video,Lens Flare,https://embed-ssl.wistia.com/deliveries/294116605d4c33df031586cf88cc57581c5a39bb.bin,Lens Flare.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Lens Flare.mp4,ALREADY_EXISTS_MP4,77796204
resource,Lens Flare,https://www.vfxapprentice.com/courses/downloads/2155773429/source_assets-substance_designer-zip,Source_Assets-Substance_Designer.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Source_Assets-Substance_Designer.zip,ALREADY_EXISTS_ZIP,51674
video,Ringburst,https://embed-ssl.wistia.com/deliveries/c6efd40ba18dd2ba54e0300ed68a469f31fdcb75.bin,Ringburst.mp4,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Ringburst.mp4,ALREADY_EXISTS_MP4,73492438
resource,Ringburst,https://www.vfxapprentice.com/courses/downloads/2155773428/source_assets-substance_designer-zip,Source_Assets-Substance_Designer.zip,Hand-Crafted 3D VFX_ Level 1/Intro to Procedural Textures - Substance Designer/Source_Assets-Substance_Designer.zip,ALREADY_EXISTS_ZIP,51674
