type,title,url,parent_url,local_path,status,size_bytes,seconds,error
post,Rough Buildup & First Expansion,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084557,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Rough Buildup & First Expansion.html,DOWNLOADED,475889,15.923,
post,Initial Rough Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084553,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Initial Rough Animation.html,DOWNLOADED,448011,16.460,
post,Rough Animation Finish,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084558,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Rough Animation Finish.html,DOWNLOADED,442178,16.719,
post,Anticipation Cleanup,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084561,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Anticipation Cleanup.html,DOWNLOADED,432794,18.439,
post,Feedback & Revisions,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084633,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Feedback & Revisions.html,DOWNLOADED,420232,623.466,
post,Spiral Smoke Cleanup,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084684,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Spiral Smoke Cleanup.html,DOWNLOADED,422522,6.427,
post,Cleanup Process: Part 1 (Unnarrated),https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084723,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Cleanup Process_ Part 1 (Unnarrated).html,DOWNLOADED,433189,6.139,
post,Cleanup Process: Part 2 (Unnarrated),https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084752,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Cleanup Process_ Part 2 (Unnarrated).html,FAILED_OUTPUT_MISSING,0,5.985,
post,Dissipation Linework & Cleanup,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084780,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Dissipation Linework & Cleanup.html,FAILED_OUTPUT_MISSING,0,3.158,
post,Final Cleanup (Unnarrated),https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084795,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Final Cleanup (Unnarrated).html,DOWNLOADED,429364,9.702,
post,Outro,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084814,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Outro.html,FAILED_OUTPUT_MISSING,0,6.086,
post,Expansion Cleanup: Part 3,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027/posts/2159084587,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2150660027,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Explosion Masterclass/Expansion Cleanup_ Part 3.html,DOWNLOADED,423558,669.057,
post,Intro & Course Overview,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526/posts/2168823463,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Ignited - 2D FX Production/Intro & Course Overview.html,FAILED_OUTPUT_MISSING,0,3.289,
post,Idea Blockout & Animatic,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526/posts/2168823468,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Ignited - 2D FX Production/Idea Blockout & Animatic.html,DOWNLOADED,427005,6.161,
post,Rough Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526/posts/2168823470,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-2/categories/2153161526,Hand-Drawn 2D FX_ Level 2/Complex 2D FX Composition Studies - Animation/Ignited - 2D FX Production/Rough Animation.html,DOWNLOADED,440444,11.310,
